file,title,author,licenses,source_page,size_bytes
bulk/society-in-ruins-2nd-remake/Society in Ruins (not really)_0.ogg,Society In Ruins (2nd Remake),Spring Spring,CC0,https://opengameart.org/content/society-in-ruins-2nd-remake,2607903
bulk/chiptune-music-for-arcade-games/The Labyrinth - Chiptune Comp 03.ogg,Chiptune Music for Arcade Games,Oblidivm,CC-BY 4.0,https://opengameart.org/content/chiptune-music-for-arcade-games,1028396
bulk/chiptune-music-for-arcade-games/The Challenge  - Chiptune Comp 01.ogg,Chiptune Music for Arcade Games,Oblidivm,CC-BY 4.0,https://opengameart.org/content/chiptune-music-for-arcade-games,968500
bulk/nebula-music-futuristic/nebula.mp3,"Nebula (music, futuristic)",p0ss,CC-BY 3.0; GPL 2.0,https://opengameart.org/content/nebula-music-futuristic,7137951
bulk/detour/detour_0.mp3,Detour,Zane Little Music,CC0,https://opengameart.org/content/detour,10048009
bulk/chiptune-music-for-arcade-games/Survive - Chiptune Comp 04.ogg,Chiptune Music for Arcade Games,Oblidivm,CC-BY 4.0,https://opengameart.org/content/chiptune-music-for-arcade-games,1612257
bulk/chiptune-music-for-arcade-games/The Undefeated - Chiptune Comp 06 - Long Track_0.ogg,Chiptune Music for Arcade Games,Oblidivm,CC-BY 4.0,https://opengameart.org/content/chiptune-music-for-arcade-games,2842772
bulk/jazz-1/jazz_2.ogg,Jazz,Spring Spring,CC0; Public Domain,https://opengameart.org/content/jazz-1,1369162
bulk/happy-bgm-100116/100116happybgm_0.ogg,happy bgm 10/01/16,syncopika,CC-BY 3.0,https://opengameart.org/content/happy-bgm-100116,1411783
bulk/a-random-chiptune/A RANDOM CHIPTUNE_0.ogg,A - RANDOM - CHIPTUNE,Spring Spring,CC-BY 3.0; CC-BY-SA 3.0; OGA-BY 3.0,https://opengameart.org/content/a-random-chiptune,4263004
bulk/chiptune-music-for-arcade-games/Jump2Sky - Chiptune Comp 05 - Long Track.mp3,Chiptune Music for Arcade Games,Oblidivm,CC-BY 4.0,https://opengameart.org/content/chiptune-music-for-arcade-games,7348515
bulk/evil-cyber-laugh/evil cyber laugh.wav,Evil Cyber Laugh,AppPro,CC0,https://opengameart.org/content/evil-cyber-laugh,246802
bulk/happy-adventure-loop/happy_adveture.mp3,Happy Adventure (Loop),TinyWorlds,CC0,https://opengameart.org/content/happy-adventure-loop,636925
bulk/dark-intro/Dark Intro_0.ogg,Dark Intro,Nikke,CC0; Public Domain,https://opengameart.org/content/dark-intro,1629729
bulk/sad-desire/Sad desire music_0.mp3,Sad desire,Flixberry Entertainment,CC-BY 4.0,https://opengameart.org/content/sad-desire,884054
bulk/canon-in-d-chill-arrange/031019canonindchillarrange_0.ogg,canon in D chill arrange,syncopika,CC0,https://opengameart.org/content/canon-in-d-chill-arrange,2213231
